aligned_dna_short_read_set_id,aligned_dna_short_read_id
PMGRC-100-101-3_LS4268816_SQ6048_1,PMGRC-100-101-3_LS4268816_SQ6048_1
PMGRC-101-101-0_LS4268818_SQ6050_1,PMGRC-101-101-0_LS4268818_SQ6050_1
PMGRC-103-106-1_LS3516158_SQ6092_1,PMGRC-103-106-1_LS3516158_SQ6092_1
PMGRC-104-104-0_LS4073403_SQ6094_1,PMGRC-104-104-0_LS4073403_SQ6094_1
PMGRC-105-106-2_LS3516157_SQ6091_1,PMGRC-105-106-2_LS3516157_SQ6091_1
PMGRC-106-106-0_LS3516159_SQ6093_1,PMGRC-106-106-0_LS3516159_SQ6093_1
PMGRC-107-107-0_LS3516220_SQ6058_1,PMGRC-107-107-0_LS3516220_SQ6058_1
PMGRC-108-108-0_LS3516233_SQ6119_1,PMGRC-108-108-0_LS3516233_SQ6119_1
PMGRC-109-108-2_LS3516234_SQ6120_1,PMGRC-109-108-2_LS3516234_SQ6120_1
PMGRC-11-11-0_LS3516167_SQ6101_1,PMGRC-11-11-0_LS3516167_SQ6101_1
PMGRC-110-108-1_LS3516235_SQ6121_1,PMGRC-110-108-1_LS3516235_SQ6121_1
PMGRC-111-107-2_LS3516221_SQ6129_1,PMGRC-111-107-2_LS3516221_SQ6129_1
PMGRC-113-114-2_LS3516156_SQ6090_1,PMGRC-113-114-2_LS3516156_SQ6090_1
PMGRC-114-114-0_LS3516152_SQ6086_1,PMGRC-114-114-0_LS3516152_SQ6086_1
PMGRC-115-114-1_LS3516151_SQ6085_1,PMGRC-115-114-1_LS3516151_SQ6085_1
PMGRC-116-116-0_LS3516164_SQ6098_1,PMGRC-116-116-0_LS3516164_SQ6098_1
PMGRC-117-116-2_LS3516161_SQ6095_1,PMGRC-117-116-2_LS3516161_SQ6095_1
PMGRC-119-118-2_LS4743022_SQ6099_1,PMGRC-119-118-2_LS4743022_SQ6099_1
PMGRC-12-11-2_LS3516165_SQ6099_1,PMGRC-12-11-2_LS3516165_SQ6099_1
PMGRC-120-118-1_LS4743013_SQ6090_1,PMGRC-120-118-1_LS4743013_SQ6090_1
PMGRC-121-122-2_LS3762949_SQ6093_1,PMGRC-121-122-2_LS3762949_SQ6093_1
PMGRC-122-122-0_LS3762943_SQ6087_1,PMGRC-122-122-0_LS3762943_SQ6087_1
PMGRC-123-122-1_LS3762944_SQ6088_1,PMGRC-123-122-1_LS3762944_SQ6088_1
PMGRC-124-124-0_LS4073428_SQ6082_1,PMGRC-124-124-0_LS4073428_SQ6082_1
PMGRC-125-125-0_LS4743009_SQ6119_1,PMGRC-125-125-0_LS4743009_SQ6119_1
PMGRC-126-125-2_LS3516174_SQ6126_1,PMGRC-126-125-2_LS3516174_SQ6126_1
PMGRC-127-125-1_LS3516162_SQ6096_1,PMGRC-127-125-1_LS3516162_SQ6096_1
PMGRC-128-116-1_LS3516215_SQ6053_1,PMGRC-128-116-1_LS3516215_SQ6053_1
PMGRC-129-129-0_LS4268781_SQ6085_1,PMGRC-129-129-0_LS4268781_SQ6085_1
PMGRC-13-13-0_LS3516194_SQ6080_1,PMGRC-13-13-0_LS3516194_SQ6080_1
PMGRC-130-130-0_LS3516168_SQ6102_1,PMGRC-130-130-0_LS3516168_SQ6102_1
PMGRC-131-131-0_LS3516176_SQ6062_1,PMGRC-131-131-0_LS3516176_SQ6062_1
PMGRC-132-131-2_LS3516177_SQ6063_1,PMGRC-132-131-2_LS3516177_SQ6063_1
PMGRC-133-131-1_LS3516178_SQ6064_1,PMGRC-133-131-1_LS3516178_SQ6064_1
PMGRC-135-107-1_LS3516219_SQ6057_1,PMGRC-135-107-1_LS3516219_SQ6057_1
PMGRC-136-136-0_LS4268788_SQ6092_1,PMGRC-136-136-0_LS4268788_SQ6092_1
PMGRC-137-137-0_LS3516163_SQ6097_1,PMGRC-137-137-0_LS3516163_SQ6097_1
PMGRC-138-104-2_LS4073404_SQ6095_1,PMGRC-138-104-2_LS4073404_SQ6095_1
PMGRC-139-11-1_LS3516166_SQ6100_1,PMGRC-139-11-1_LS3516166_SQ6100_1
PMGRC-140-104-1_LS4698935_SQ6086_1,PMGRC-140-104-1_LS4698935_SQ6086_1
PMGRC-145-143-1_LS4699019_SQ6088_1,PMGRC-145-143-1_LS4699019_SQ6088_1
PMGRC-146-146-0_LS3516170_SQ6104_1,PMGRC-146-146-0_LS3516170_SQ6104_1
PMGRC-147-146-2_LS3516169_SQ6103_1,PMGRC-147-146-2_LS3516169_SQ6103_1
PMGRC-148-148-0_LS3516190_SQ6076_1,PMGRC-148-148-0_LS3516190_SQ6076_1
PMGRC-149-148-2_LS3516188_SQ6074_1,PMGRC-149-148-2_LS3516188_SQ6074_1
PMGRC-150-148-1_LS3516189_SQ6075_1,PMGRC-150-148-1_LS3516189_SQ6075_1
PMGRC-151-151-0_LS4698954_SQ6061_1,PMGRC-151-151-0_LS4698954_SQ6061_1
PMGRC-152-152-0_LS4698944_SQ6095_1,PMGRC-152-152-0_LS4698944_SQ6095_1
PMGRC-153-152-2_LS4698941_SQ6092_1,PMGRC-153-152-2_LS4698941_SQ6092_1
PMGRC-154-152-1_LS4698943_SQ6094_1,PMGRC-154-152-1_LS4698943_SQ6094_1
PMGRC-155-152-3_LS4698942_SQ6093_1,PMGRC-155-152-3_LS4698942_SQ6093_1
PMGRC-156-152-3_LS4698945_SQ6096_1,PMGRC-156-152-3_LS4698945_SQ6096_1
PMGRC-157-146-1_LS3516171_SQ6105_1,PMGRC-157-146-1_LS3516171_SQ6105_1
PMGRC-158-158-0_LS4268794_SQ6110_1,PMGRC-158-158-0_LS4268794_SQ6110_1
PMGRC-159-158-2_LS4268792_SQ6096_1,PMGRC-159-158-2_LS4268792_SQ6096_1
PMGRC-160-158-1_LS4268796_SQ6112_1,PMGRC-160-158-1_LS4268796_SQ6112_1
PMGRC-161-161-0_LS4073343_SQ6117_1,PMGRC-161-161-0_LS4073343_SQ6117_1
PMGRC-162-161-2_LS4073341_SQ6115_1,PMGRC-162-161-2_LS4073341_SQ6115_1
PMGRC-163-161-1_LS4073344_SQ6118_1,PMGRC-163-161-1_LS4073344_SQ6118_1
PMGRC-164-164-0_LS3516199_SQ6037_1,PMGRC-164-164-0_LS3516199_SQ6037_1
PMGRC-165-164-2_LS3516200_SQ6038_1,PMGRC-165-164-2_LS3516200_SQ6038_1
PMGRC-166-164-1_LS3516195_SQ6081_1,PMGRC-166-164-1_LS3516195_SQ6081_1
PMGRC-167-167-0_LS3516193_SQ6079_1,PMGRC-167-167-0_LS3516193_SQ6079_1
PMGRC-168-167-2_LS3516191_SQ6077_1,PMGRC-168-167-2_LS3516191_SQ6077_1
PMGRC-169-167-1_LS3516192_SQ6078_1,PMGRC-169-167-1_LS3516192_SQ6078_1
PMGRC-170-170-0_LS3762985_SQ6105_1,PMGRC-170-170-0_LS3762985_SQ6105_1
PMGRC-171-170-1_LS4073349_SQ6123_1,PMGRC-171-170-1_LS4073349_SQ6123_1
PMGRC-172-170-2_LS4073350_SQ6124_1,PMGRC-172-170-2_LS4073350_SQ6124_1
PMGRC-173-175-1_LS3762966_SQ6086_1,PMGRC-173-175-1_LS3762966_SQ6086_1
PMGRC-174-175-2_LS3762965_SQ6085_1,PMGRC-174-175-2_LS3762965_SQ6085_1
PMGRC-175-175-0_LS3762964_SQ6078_1,PMGRC-175-175-0_LS3762964_SQ6078_1
PMGRC-176-176-0_LS4073416_SQ6070_1,PMGRC-176-176-0_LS4073416_SQ6070_1
PMGRC-177-176-2_LS4073417_SQ6071_1,PMGRC-177-176-2_LS4073417_SQ6071_1
PMGRC-178-178-0_LS4268812_SQ6044_1,PMGRC-178-178-0_LS4268812_SQ6044_1
PMGRC-179-178-2_LS4268811_SQ6043_1,PMGRC-179-178-2_LS4268811_SQ6043_1
PMGRC-180-178-1_LS4268810_SQ6042_1,PMGRC-180-178-1_LS4268810_SQ6042_1
PMGRC-181-181-0_LS4698976_SQ6127_1,PMGRC-181-181-0_LS4698976_SQ6127_1
PMGRC-182-181-2_LS4698975_SQ6126_1,PMGRC-182-181-2_LS4698975_SQ6126_1
PMGRC-186-186-0_LS3516239_SQ6076_1,PMGRC-186-186-0_LS3516239_SQ6076_1
PMGRC-188-188-0_LS4268838_SQ6102_1,PMGRC-188-188-0_LS4268838_SQ6102_1
PMGRC-189-188-2_LS4268837_SQ6101_1,PMGRC-189-188-2_LS4268837_SQ6101_1
PMGRC-190-188-1_LS4268836_SQ6100_1,PMGRC-190-188-1_LS4268836_SQ6100_1
PMGRC-191-191-0_LS3762960_SQ6104_1,PMGRC-191-191-0_LS3762960_SQ6104_1
PMGRC-192-191-2_LS3762963_SQ6077_1,PMGRC-192-191-2_LS3762963_SQ6077_1
PMGRC-193-191-1_LS3762959_SQ6103_1,PMGRC-193-191-1_LS3762959_SQ6103_1
PMGRC-194-194-0_LS3516205_SQ6043_1,PMGRC-194-194-0_LS3516205_SQ6043_1
PMGRC-195-195-0_LS3762971_SQ6091_1,PMGRC-195-195-0_LS3762971_SQ6091_1
PMGRC-196-195-3_LS3762968_SQ6088_1,PMGRC-196-195-3_LS3762968_SQ6088_1
PMGRC-197-195-2_LS3762970_SQ6090_1,PMGRC-197-195-2_LS3762970_SQ6090_1
PMGRC-198-195-1_LS3762969_SQ6089_1,PMGRC-198-195-1_LS3762969_SQ6089_1
PMGRC-202-204-2_LS4268849_SQ6125_1,PMGRC-202-204-2_LS4268849_SQ6125_1
PMGRC-204-204-0_LS4268850_SQ6126_1,PMGRC-204-204-0_LS4268850_SQ6126_1
PMGRC-206-206-0_LS3516197_SQ6127_1,PMGRC-206-206-0_LS3516197_SQ6127_1
PMGRC-207-206-2_LS3516198_SQ6128_1,PMGRC-207-206-2_LS3516198_SQ6128_1
PMGRC-208-209-1_LS3516214_SQ6052_1,PMGRC-208-209-1_LS3516214_SQ6052_1
PMGRC-209-209-0_LS3516213_SQ6051_1,PMGRC-209-209-0_LS3516213_SQ6051_1
PMGRC-217-217-0_LS4073336_SQ6110_1,PMGRC-217-217-0_LS4073336_SQ6110_1
PMGRC-218-81-2_LS3516202_SQ6040_1,PMGRC-218-81-2_LS3516202_SQ6040_1
PMGRC-219-181-1_LS4698974_SQ6125_1,PMGRC-219-181-1_LS4698974_SQ6125_1
PMGRC-221-220-2_LS3762967_SQ6087_1,PMGRC-221-220-2_LS3762967_SQ6087_1
PMGRC-223-223-0_LS4268827_SQ6067_1,PMGRC-223-223-0_LS4268827_SQ6067_1
PMGRC-226-226-0_LS3516236_SQ6122_1,PMGRC-226-226-0_LS3516236_SQ6122_1
PMGRC-227-226-2_LS3516237_SQ6123_1,PMGRC-227-226-2_LS3516237_SQ6123_1
PMGRC-229-194-1_LS3516201_SQ6039_1,PMGRC-229-194-1_LS3516201_SQ6039_1
PMGRC-230-79-1_LS3516210_SQ6048_1,PMGRC-230-79-1_LS3516210_SQ6048_1
PMGRC-231-79-2_LS3516211_SQ6049_1,PMGRC-231-79-2_LS3516211_SQ6049_1
PMGRC-232-232-0_LS4268843_SQ6101_1,PMGRC-232-232-0_LS4268843_SQ6101_1
PMGRC-233-233-0_LS4073421_SQ6075_1,PMGRC-233-233-0_LS4073421_SQ6075_1
PMGRC-234-234-0_LS3516212_SQ6050_1,PMGRC-234-234-0_LS3516212_SQ6050_1
PMGRC-237-217-1_LS4073337_SQ6111_1,PMGRC-237-217-1_LS4073337_SQ6111_1
PMGRC-238-217-2_LS4073335_SQ6109_1,PMGRC-238-217-2_LS4073335_SQ6109_1
PMGRC-239-239-0_LS3762945_SQ6089_1,PMGRC-239-239-0_LS3762945_SQ6089_1
PMGRC-240-240-0_LS3762942_SQ6086_1,PMGRC-240-240-0_LS3762942_SQ6086_1
PMGRC-241-32-1_LS3516224_SQ6110_1,PMGRC-241-32-1_LS3516224_SQ6110_1
PMGRC-248-248-0_LS3762951_SQ6095_1,PMGRC-248-248-0_LS3762951_SQ6095_1
PMGRC-249-248-2_LS3762950_SQ6094_1,PMGRC-249-248-2_LS3762950_SQ6094_1
PMGRC-250-251-3_LS4268789_SQ6093_1,PMGRC-250-251-3_LS4268789_SQ6093_1
PMGRC-251-251-0_LS4268790_SQ6094_1,PMGRC-251-251-0_LS4268790_SQ6094_1
PMGRC-252-251-2_LS4268834_SQ6074_1,PMGRC-252-251-2_LS4268834_SQ6074_1
PMGRC-253-251-1_LS4268835_SQ6075_1,PMGRC-253-251-1_LS4268835_SQ6075_1
PMGRC-254-233-2_LS4268846_SQ6122_1,PMGRC-254-233-2_LS4268846_SQ6122_1
PMGRC-265-265-0_LS3762941_SQ6085_1,PMGRC-265-265-0_LS3762941_SQ6085_1
PMGRC-266-266-0_LS4268840_SQ6098_1,PMGRC-266-266-0_LS4268840_SQ6098_1
PMGRC-267-266-2_LS4268855_SQ6078_1,PMGRC-267-266-2_LS4268855_SQ6078_1
PMGRC-268-266-1_LS4268839_SQ6097_1,PMGRC-268-266-1_LS4268839_SQ6097_1
PMGRC-279-279-0_LS3762956_SQ6100_1,PMGRC-279-279-0_LS3762956_SQ6100_1
PMGRC-281-281-0_LS4268806_SQ6038_1,PMGRC-281-281-0_LS4268806_SQ6038_1
PMGRC-282-279-2_LS3762958_SQ6102_1,PMGRC-282-279-2_LS3762958_SQ6102_1
PMGRC-283-279-1_LS3762957_SQ6101_1,PMGRC-283-279-1_LS3762957_SQ6101_1
PMGRC-284-284-0_LS3762948_SQ6092_1,PMGRC-284-284-0_LS3762948_SQ6092_1
PMGRC-285-284-1_LS3762946_SQ6090_1,PMGRC-285-284-1_LS3762946_SQ6090_1
PMGRC-286-284-2_LS3762947_SQ6091_1,PMGRC-286-284-2_LS3762947_SQ6091_1
PMGRC-288-289-2_LS4268826_SQ6066_1,PMGRC-288-289-2_LS4268826_SQ6066_1
PMGRC-289-289-0_LS3762953_SQ6097_1,PMGRC-289-289-0_LS3762953_SQ6097_1
PMGRC-290-289-1_LS3762952_SQ6096_1,PMGRC-290-289-1_LS3762952_SQ6096_1
PMGRC-291-291-0_LS4073342_SQ6116_1,PMGRC-291-291-0_LS4073342_SQ6116_1
PMGRC-292-291-2_LS4073340_SQ6114_1,PMGRC-292-291-2_LS4073340_SQ6114_1
PMGRC-293-291-1_LS4073346_SQ6120_1,PMGRC-293-291-1_LS4073346_SQ6120_1
PMGRC-294-294-0_LS3762955_SQ6099_1,PMGRC-294-294-0_LS3762955_SQ6099_1
PMGRC-295-294-2_LS3762954_SQ6098_1,PMGRC-295-294-2_LS3762954_SQ6098_1
PMGRC-296-296-0_LS3762984_SQ6104_1,PMGRC-296-296-0_LS3762984_SQ6104_1
PMGRC-297-296-2_LS3762983_SQ6103_1,PMGRC-297-296-2_LS3762983_SQ6103_1
PMGRC-298-296-1_LS3762976_SQ6096_1,PMGRC-298-296-1_LS3762976_SQ6096_1
PMGRC-299-299-0_LS3762962_SQ6106_1,PMGRC-299-299-0_LS3762962_SQ6106_1
PMGRC-3-3-0_LS3516179_SQ6065_1,PMGRC-3-3-0_LS3516179_SQ6065_1
PMGRC-300-299-2_LS3762961_SQ6105_1,PMGRC-300-299-2_LS3762961_SQ6105_1
PMGRC-302-302-0_LS3762982_SQ6102_1,PMGRC-302-302-0_LS3762982_SQ6102_1
PMGRC-308-310-2_LS4698980_SQ6069_1,PMGRC-308-310-2_LS4698980_SQ6069_1
PMGRC-309-310-1_LS4698981_SQ6070_1,PMGRC-309-310-1_LS4698981_SQ6070_1
PMGRC-31-32-2_LS3516226_SQ6112_1,PMGRC-31-32-2_LS3516226_SQ6112_1
PMGRC-310-310-0_LS4698982_SQ6037_1,PMGRC-310-310-0_LS4698982_SQ6037_1
PMGRC-311-312-1_LS3762980_SQ6100_1,PMGRC-311-312-1_LS3762980_SQ6100_1
PMGRC-312-312-0_LS3762981_SQ6101_1,PMGRC-312-312-0_LS3762981_SQ6101_1
PMGRC-313-316-2_LS4268793_SQ6109_1,PMGRC-313-316-2_LS4268793_SQ6109_1
PMGRC-314-316-1_LS4268825_SQ6065_1,PMGRC-314-316-1_LS4268825_SQ6065_1
PMGRC-315-316-3_LS4268791_SQ6095_1,PMGRC-315-316-3_LS4268791_SQ6095_1
PMGRC-316-316-0_LS4268795_SQ6111_1,PMGRC-316-316-0_LS4268795_SQ6111_1
PMGRC-32-32-0_LS3516225_SQ6111_1,PMGRC-32-32-0_LS3516225_SQ6111_1
PMGRC-320-320-0_LS4699017_SQ6086_1,PMGRC-320-320-0_LS4699017_SQ6086_1
PMGRC-321-323-2_LS4073411_SQ6065_1,PMGRC-321-323-2_LS4073411_SQ6065_1
PMGRC-322-323-1_LS4073412_SQ6066_1,PMGRC-322-323-1_LS4073412_SQ6066_1
PMGRC-323-323-0_LS4073413_SQ6067_1,PMGRC-323-323-0_LS4073413_SQ6067_1
PMGRC-324-324-0_LS4698956_SQ6099_1,PMGRC-324-324-0_LS4698956_SQ6099_1
PMGRC-325-324-2_LS4698955_SQ6098_1,PMGRC-325-324-2_LS4698955_SQ6098_1
PMGRC-329-320-2_LS4699016_SQ6085_1,PMGRC-329-320-2_LS4699016_SQ6085_1
PMGRC-330-332-2_LS4699003_SQ6058_1,PMGRC-330-332-2_LS4699003_SQ6058_1
PMGRC-331-332-1_LS4699004_SQ6071_1,PMGRC-331-332-1_LS4699004_SQ6071_1
PMGRC-332-332-0_LS4699002_SQ6057_1,PMGRC-332-332-0_LS4699002_SQ6057_1
PMGRC-333-333-0_LS3762973_SQ6093_1,PMGRC-333-333-0_LS3762973_SQ6093_1
PMGRC-334-335-2_LS4268847_SQ6123_1,PMGRC-334-335-2_LS4268847_SQ6123_1
PMGRC-335-335-0_LS4268856_SQ6079_1,PMGRC-335-335-0_LS4268856_SQ6079_1
PMGRC-336-335-1_LS4268848_SQ6124_1,PMGRC-336-335-1_LS4268848_SQ6124_1
PMGRC-337-320-1_LS4699018_SQ6087_1,PMGRC-337-320-1_LS4699018_SQ6087_1
PMGRC-342-345-1_LS3762987_SQ6079_1,PMGRC-342-345-1_LS3762987_SQ6079_1
PMGRC-343-345-2_LS4743014_SQ6091_1,PMGRC-343-345-2_LS4743014_SQ6091_1
PMGRC-344-345-3_LS3762986_SQ6106_1,PMGRC-344-345-3_LS3762986_SQ6106_1
PMGRC-345-345-0_LS4743019_SQ6096_1,PMGRC-345-345-0_LS4743019_SQ6096_1
PMGRC-346-346-0_LS4073358_SQ6086_1,PMGRC-346-346-0_LS4073358_SQ6086_1
PMGRC-347-346-3_LS4073351_SQ6125_1,PMGRC-347-346-3_LS4073351_SQ6125_1
PMGRC-348-346-3_LS4073364_SQ6092_1,PMGRC-348-346-3_LS4073364_SQ6092_1
PMGRC-349-346-2_LS4073363_SQ6091_1,PMGRC-349-346-2_LS4073363_SQ6091_1
PMGRC-350-346-1_LS4073362_SQ6090_1,PMGRC-350-346-1_LS4073362_SQ6090_1
PMGRC-351-351-0_LS4073420_SQ6074_1,PMGRC-351-351-0_LS4073420_SQ6074_1
PMGRC-352-351-1_LS4073418_SQ6072_1,PMGRC-352-351-1_LS4073418_SQ6072_1
PMGRC-353-351-2_LS4073419_SQ6073_1,PMGRC-353-351-2_LS4073419_SQ6073_1
PMGRC-354-355-1_LS4073339_SQ6113_1,PMGRC-354-355-1_LS4073339_SQ6113_1
PMGRC-355-355-0_LS4073347_SQ6121_1,PMGRC-355-355-0_LS4073347_SQ6121_1
PMGRC-356-355-2_LS4073338_SQ6112_1,PMGRC-356-355-2_LS4073338_SQ6112_1
PMGRC-357-357-0_LS4698948_SQ6111_1,PMGRC-357-357-0_LS4698948_SQ6111_1
PMGRC-358-357-2_LS4698947_SQ6110_1,PMGRC-358-357-2_LS4698947_SQ6110_1
PMGRC-359-357-1_LS4698946_SQ6109_1,PMGRC-359-357-1_LS4698946_SQ6109_1
PMGRC-363-363-0_LS4268797_SQ6113_1,PMGRC-363-363-0_LS4268797_SQ6113_1
PMGRC-364-363-2_LS4268799_SQ6115_1,PMGRC-364-363-2_LS4268799_SQ6115_1
PMGRC-365-363-1_LS4268798_SQ6114_1,PMGRC-365-363-1_LS4268798_SQ6114_1
PMGRC-366-366-0_LS3762990_SQ6082_1,PMGRC-366-366-0_LS3762990_SQ6082_1
PMGRC-367-366-2_LS3762989_SQ6081_1,PMGRC-367-366-2_LS3762989_SQ6081_1
PMGRC-368-366-1_LS3762988_SQ6080_1,PMGRC-368-366-1_LS3762988_SQ6080_1
PMGRC-369-369-0_LS4698987_SQ6042_1,PMGRC-369-369-0_LS4698987_SQ6042_1
PMGRC-37-39-2_LS3762972_SQ6092_1,PMGRC-37-39-2_LS3762972_SQ6092_1
PMGRC-370-369-2_LS4698988_SQ6043_1,PMGRC-370-369-2_LS4698988_SQ6043_1
PMGRC-371-369-1_LS4698986_SQ6041_1,PMGRC-371-369-1_LS4698986_SQ6041_1
PMGRC-372-372-0_LS4073353_SQ6127_1,PMGRC-372-372-0_LS4073353_SQ6127_1
PMGRC-373-372-2_LS4073361_SQ6089_1,PMGRC-373-372-2_LS4073361_SQ6089_1
PMGRC-374-372-1_LS4073360_SQ6088_1,PMGRC-374-372-1_LS4073360_SQ6088_1
PMGRC-375-375-0_LS4268844_SQ6102_1,PMGRC-375-375-0_LS4268844_SQ6102_1
PMGRC-376-375-2_LS4073345_SQ6119_1,PMGRC-376-375-2_LS4073345_SQ6119_1
PMGRC-377-375-1_LS4073348_SQ6122_1,PMGRC-377-375-1_LS4073348_SQ6122_1
PMGRC-379-381-2_LS4073359_SQ6087_1,PMGRC-379-381-2_LS4073359_SQ6087_1
PMGRC-38-39-1_LS3762975_SQ6095_1,PMGRC-38-39-1_LS3762975_SQ6095_1
PMGRC-380-381-1_LS4073355_SQ6129_1,PMGRC-380-381-1_LS4073355_SQ6129_1
PMGRC-381-381-0_LS4073352_SQ6126_1,PMGRC-381-381-0_LS4073352_SQ6126_1
PMGRC-382-382-0_LS4073425_SQ6079_1,PMGRC-382-382-0_LS4073425_SQ6079_1
PMGRC-383-382-2_LS4073424_SQ6078_1,PMGRC-383-382-2_LS4073424_SQ6078_1
PMGRC-384-382-1_LS4073427_SQ6081_1,PMGRC-384-382-1_LS4073427_SQ6081_1
PMGRC-388-388-0_LS4073410_SQ6064_1,PMGRC-388-388-0_LS4073410_SQ6064_1
PMGRC-389-388-2_LS4073409_SQ6063_1,PMGRC-389-388-2_LS4073409_SQ6063_1
