aligned_dna_short_read_set_id,aligned_dna_short_read_id
PMGRC-39-39-0_LS3762974_SQ6094_1,PMGRC-39-39-0_LS3762974_SQ6094_1
PMGRC-390-388-1_LS4073408_SQ6062_1,PMGRC-390-388-1_LS4073408_SQ6062_1
PMGRC-391-391-0_LS4698969_SQ6120_1,PMGRC-391-391-0_LS4698969_SQ6120_1
PMGRC-392-392-0_LS4073415_SQ6069_1,PMGRC-392-392-0_LS4073415_SQ6069_1
PMGRC-393-392-2_LS4073414_SQ6068_1,PMGRC-393-392-2_LS4073414_SQ6068_1
PMGRC-394-392-1_LS4073426_SQ6080_1,PMGRC-394-392-1_LS4073426_SQ6080_1
PMGRC-399-391-1_LS4698949_SQ6112_1,PMGRC-399-391-1_LS4698949_SQ6112_1
PMGRC-4-3-2_LS3516180_SQ6066_1,PMGRC-4-3-2_LS3516180_SQ6066_1
PMGRC-400-391-2_LS4698970_SQ6121_1,PMGRC-400-391-2_LS4698970_SQ6121_1
PMGRC-401-401-0_LS4073357_SQ6085_1,PMGRC-401-401-0_LS4073357_SQ6085_1
PMGRC-402-401-2_LS4073354_SQ6128_1,PMGRC-402-401-2_LS4073354_SQ6128_1
PMGRC-403-403-0_LS4268782_SQ6086_1,PMGRC-403-403-0_LS4268782_SQ6086_1
PMGRC-404-403-1_LS4743901_SQ6102_1,PMGRC-404-403-1_LS4743901_SQ6102_1
PMGRC-405-403-2_LS4268783_SQ6087_1,PMGRC-405-403-2_LS4268783_SQ6087_1
PMGRC-406-401-1_LS4073356_SQ6130_1,PMGRC-406-401-1_LS4073356_SQ6130_1
PMGRC-409-408-1_LS4268829_SQ6069_1,PMGRC-409-408-1_LS4268829_SQ6069_1
PMGRC-410-408-2_LS4268830_SQ6070_1,PMGRC-410-408-2_LS4268830_SQ6070_1
PMGRC-411-411-0_LS4073376_SQ6118_1,PMGRC-411-411-0_LS4073376_SQ6118_1
PMGRC-412-411-2_LS4073368_SQ6110_1,PMGRC-412-411-2_LS4073368_SQ6110_1
PMGRC-414-417-2_LS4073374_SQ6116_1,PMGRC-414-417-2_LS4073374_SQ6116_1
PMGRC-415-417-1_LS4073396_SQ6069_1,PMGRC-415-417-1_LS4073396_SQ6069_1
PMGRC-416-417-3_LS4268828_SQ6068_1,PMGRC-416-417-3_LS4268828_SQ6068_1
PMGRC-417-417-0_LS4073387_SQ6128_1,PMGRC-417-417-0_LS4073387_SQ6128_1
PMGRC-418-418-0_LS4268831_SQ6071_1,PMGRC-418-418-0_LS4268831_SQ6071_1
PMGRC-419-418-2_LS4073383_SQ6125_1,PMGRC-419-418-2_LS4073383_SQ6125_1
PMGRC-420-418-1_LS4073367_SQ6109_1,PMGRC-420-418-1_LS4073367_SQ6109_1
PMGRC-422-421-2_LS4268852_SQ6062_1,PMGRC-422-421-2_LS4268852_SQ6062_1
PMGRC-423-423-0_LS4073395_SQ6068_1,PMGRC-423-423-0_LS4073395_SQ6068_1
PMGRC-424-423-2_LS4073385_SQ6063_1,PMGRC-424-423-2_LS4073385_SQ6063_1
PMGRC-425-423-1_LS4073398_SQ6071_1,PMGRC-425-423-1_LS4073398_SQ6071_1
PMGRC-426-426-0_LS4073366_SQ6062_1,PMGRC-426-426-0_LS4073366_SQ6062_1
PMGRC-427-426-2_LS4073390_SQ6130_1,PMGRC-427-426-2_LS4073390_SQ6130_1
PMGRC-428-426-1_LS4073391_SQ6064_1,PMGRC-428-426-1_LS4073391_SQ6064_1
PMGRC-429-429-0_LS4073399_SQ6072_1,PMGRC-429-429-0_LS4073399_SQ6072_1
PMGRC-43-43-0_LS3516183_SQ6069_1,PMGRC-43-43-0_LS3516183_SQ6069_1
PMGRC-430-429-2_LS4073392_SQ6065_1,PMGRC-430-429-2_LS4073392_SQ6065_1
PMGRC-431-431-0_LS4073384_SQ6126_1,PMGRC-431-431-0_LS4073384_SQ6126_1
PMGRC-432-431-1_LS4073386_SQ6127_1,PMGRC-432-431-1_LS4073386_SQ6127_1
PMGRC-433-431-2_LS4073397_SQ6070_1,PMGRC-433-431-2_LS4073397_SQ6070_1
PMGRC-434-434-0_LS4073394_SQ6067_1,PMGRC-434-434-0_LS4073394_SQ6067_1
PMGRC-435-434-2_LS4073372_SQ6114_1,PMGRC-435-434-2_LS4073372_SQ6114_1
PMGRC-436-434-1_LS4073373_SQ6115_1,PMGRC-436-434-1_LS4073373_SQ6115_1
PMGRC-437-437-0_LS4073379_SQ6121_1,PMGRC-437-437-0_LS4073379_SQ6121_1
PMGRC-438-437-1_LS4073402_SQ6075_1,PMGRC-438-437-1_LS4073402_SQ6075_1
PMGRC-439-437-2_LS4073380_SQ6122_1,PMGRC-439-437-2_LS4073380_SQ6122_1
PMGRC-44-43-2_LS3516182_SQ6068_1,PMGRC-44-43-2_LS3516182_SQ6068_1
PMGRC-440-440-0_LS4073382_SQ6124_1,PMGRC-440-440-0_LS4073382_SQ6124_1
PMGRC-441-440-2_LS4073370_SQ6112_1,PMGRC-441-440-2_LS4073370_SQ6112_1
PMGRC-442-440-1_LS4073401_SQ6074_1,PMGRC-442-440-1_LS4073401_SQ6074_1
PMGRC-443-443-0_LS4073378_SQ6120_1,PMGRC-443-443-0_LS4073378_SQ6120_1
PMGRC-444-443-2_LS4073400_SQ6073_1,PMGRC-444-443-2_LS4073400_SQ6073_1
PMGRC-445-445-0_LS4073377_SQ6119_1,PMGRC-445-445-0_LS4073377_SQ6119_1
PMGRC-446-446-0_LS4268832_SQ6072_1,PMGRC-446-446-0_LS4268832_SQ6072_1
PMGRC-447-446-2_LS4073369_SQ6111_1,PMGRC-447-446-2_LS4073369_SQ6111_1
PMGRC-448-446-1_LS4073389_SQ6129_1,PMGRC-448-446-1_LS4073389_SQ6129_1
PMGRC-449-445-2_LS4073365_SQ6061_1,PMGRC-449-445-2_LS4073365_SQ6061_1
PMGRC-45-43-1_LS3516184_SQ6070_1,PMGRC-45-43-1_LS3516184_SQ6070_1
PMGRC-450-445-1_LS4073375_SQ6117_1,PMGRC-450-445-1_LS4073375_SQ6117_1
PMGRC-451-451-0_LS4073393_SQ6066_1,PMGRC-451-451-0_LS4073393_SQ6066_1
PMGRC-452-451-2_LS4073371_SQ6113_1,PMGRC-452-451-2_LS4073371_SQ6113_1
PMGRC-453-451-1_LS4073381_SQ6123_1,PMGRC-453-451-1_LS4073381_SQ6123_1
PMGRC-454-454-0_LS4268853_SQ6076_1,PMGRC-454-454-0_LS4268853_SQ6076_1
PMGRC-455-454-2_LS4073388_SQ6093_1,PMGRC-455-454-2_LS4073388_SQ6093_1
PMGRC-459-459-0_LS4268785_SQ6089_1,PMGRC-459-459-0_LS4268785_SQ6089_1
PMGRC-46-46-0_LS3516223_SQ6109_1,PMGRC-46-46-0_LS3516223_SQ6109_1
PMGRC-460-459-2_LS4268787_SQ6091_1,PMGRC-460-459-2_LS4268787_SQ6091_1
PMGRC-461-459-1_LS4268786_SQ6090_1,PMGRC-461-459-1_LS4268786_SQ6090_1
PMGRC-462-462-0_LS4073405_SQ6096_1,PMGRC-462-462-0_LS4073405_SQ6096_1
PMGRC-463-462-1_LS4268833_SQ6073_1,PMGRC-463-462-1_LS4268833_SQ6073_1
PMGRC-464-462-2_LS4268854_SQ6077_1,PMGRC-464-462-2_LS4268854_SQ6077_1
PMGRC-465-466-2_LS4073407_SQ6061_1,PMGRC-465-466-2_LS4073407_SQ6061_1
PMGRC-467-467-0_LS4268842_SQ6100_1,PMGRC-467-467-0_LS4268842_SQ6100_1
PMGRC-468-467-2_LS4268845_SQ6121_1,PMGRC-468-467-2_LS4268845_SQ6121_1
PMGRC-469-466-1_LS4073406_SQ6097_1,PMGRC-469-466-1_LS4073406_SQ6097_1
PMGRC-47-46-2_LS3516222_SQ6130_1,PMGRC-47-46-2_LS3516222_SQ6130_1
PMGRC-470-467-1_LS4268841_SQ6099_1,PMGRC-470-467-1_LS4268841_SQ6099_1
PMGRC-472-472-0_LS4698957_SQ6100_1,PMGRC-472-472-0_LS4698957_SQ6100_1
PMGRC-473-472-2_LS4698958_SQ6101_1,PMGRC-473-472-2_LS4698958_SQ6101_1
PMGRC-476-477-1_LS4743007_SQ6117_1,PMGRC-476-477-1_LS4743007_SQ6117_1
PMGRC-477-477-0_LS4268851_SQ6061_1,PMGRC-477-477-0_LS4268851_SQ6061_1
PMGRC-478-478-0_LS4073422_SQ6076_1,PMGRC-478-478-0_LS4073422_SQ6076_1
PMGRC-479-478-2_LS4073423_SQ6077_1,PMGRC-479-478-2_LS4073423_SQ6077_1
PMGRC-48-48-0_LS3516203_SQ6041_1,PMGRC-48-48-0_LS3516203_SQ6041_1
PMGRC-482-482-0_LS4698939_SQ6090_1,PMGRC-482-482-0_LS4698939_SQ6090_1
PMGRC-483-482-2_LS4699009_SQ6076_1,PMGRC-483-482-2_LS4699009_SQ6076_1
PMGRC-484-482-1_LS4699008_SQ6075_1,PMGRC-484-482-1_LS4699008_SQ6075_1
PMGRC-485-485-0_LS4429501_SQ6064_1,PMGRC-485-485-0_LS4429501_SQ6064_1
PMGRC-486-485-2_LS4429502_SQ6065_1,PMGRC-486-485-2_LS4429502_SQ6065_1
PMGRC-487-485-1_LS4429503_SQ6066_1,PMGRC-487-485-1_LS4429503_SQ6066_1
PMGRC-488-488-0_LS4268819_SQ6119_1,PMGRC-488-488-0_LS4268819_SQ6119_1
PMGRC-489-488-2_LS4268820_SQ6120_1,PMGRC-489-488-2_LS4268820_SQ6120_1
PMGRC-49-48-2_LS3516204_SQ6042_1,PMGRC-49-48-2_LS3516204_SQ6042_1
PMGRC-490-488-1_LS4268821_SQ6061_1,PMGRC-490-488-1_LS4268821_SQ6061_1
PMGRC-491-493-1_LS4268800_SQ6116_1,PMGRC-491-493-1_LS4268800_SQ6116_1
PMGRC-492-493-2_LS4268801_SQ6117_1,PMGRC-492-493-2_LS4268801_SQ6117_1
PMGRC-494-494-0_LS4698978_SQ6067_1,PMGRC-494-494-0_LS4698978_SQ6067_1
PMGRC-495-494-3_LS4698979_SQ6068_1,PMGRC-495-494-3_LS4698979_SQ6068_1
PMGRC-496-494-2_LS4698977_SQ6066_1,PMGRC-496-494-2_LS4698977_SQ6066_1
PMGRC-497-497-0_LS4698960_SQ6103_1,PMGRC-497-497-0_LS4698960_SQ6103_1
PMGRC-498-497-1_LS4698959_SQ6102_1,PMGRC-498-497-1_LS4698959_SQ6102_1
PMGRC-499-497-2_LS4698961_SQ6104_1,PMGRC-499-497-2_LS4698961_SQ6104_1
PMGRC-5-5-0_LS3516207_SQ6045_1,PMGRC-5-5-0_LS3516207_SQ6045_1
PMGRC-50-48-1_LS3516181_SQ6067_1,PMGRC-50-48-1_LS3516181_SQ6067_1
PMGRC-500-503-2_LS4743011_SQ6121_1,PMGRC-500-503-2_LS4743011_SQ6121_1
PMGRC-501-503-3_LS4743006_SQ6116_1,PMGRC-501-503-3_LS4743006_SQ6116_1
PMGRC-502-503-1_LS4743001_SQ6111_1,PMGRC-502-503-1_LS4743001_SQ6111_1
PMGRC-503-503-0_LS4743012_SQ6122_1,PMGRC-503-503-0_LS4743012_SQ6122_1
PMGRC-504-302-2_LS4743016_SQ6093_1,PMGRC-504-302-2_LS4743016_SQ6093_1
PMGRC-505-302-1_LS4743018_SQ6095_1,PMGRC-505-302-1_LS4743018_SQ6095_1
PMGRC-509-509-0_LS4429497_SQ6054_1,PMGRC-509-509-0_LS4429497_SQ6054_1
PMGRC-510-509-2_LS4429496_SQ6053_1,PMGRC-510-509-2_LS4429496_SQ6053_1
PMGRC-511-509-1_LS4429495_SQ6052_1,PMGRC-511-509-1_LS4429495_SQ6052_1
PMGRC-512-512-0_LS4698934_SQ6085_1,PMGRC-512-512-0_LS4698934_SQ6085_1
PMGRC-513-512-2_LS4268813_SQ6045_1,PMGRC-513-512-2_LS4268813_SQ6045_1
PMGRC-517-517-0_LS4268823_SQ6063_1,PMGRC-517-517-0_LS4268823_SQ6063_1
PMGRC-518-517-2_LS4268822_SQ6062_1,PMGRC-518-517-2_LS4268822_SQ6062_1
PMGRC-519-517-1_LS4268824_SQ6064_1,PMGRC-519-517-1_LS4268824_SQ6064_1
PMGRC-52-52-0_LS3516238_SQ6124_1,PMGRC-52-52-0_LS3516238_SQ6124_1
PMGRC-521-522-2_LS4268803_SQ6098_1,PMGRC-521-522-2_LS4268803_SQ6098_1
PMGRC-522-522-0_LS4268802_SQ6118_1,PMGRC-522-522-0_LS4268802_SQ6118_1
PMGRC-523-281-2_LS4268805_SQ6037_1,PMGRC-523-281-2_LS4268805_SQ6037_1
PMGRC-524-525-2_LS4429510_SQ6072_1,PMGRC-524-525-2_LS4429510_SQ6072_1
PMGRC-525-525-0_LS4429498_SQ6055_1,PMGRC-525-525-0_LS4429498_SQ6055_1
PMGRC-526-525-3_LS4429500_SQ6063_1,PMGRC-526-525-3_LS4429500_SQ6063_1
PMGRC-527-522-1_LS4268807_SQ6039_1,PMGRC-527-522-1_LS4268807_SQ6039_1
PMGRC-528-525-1_LS4429494_SQ6051_1,PMGRC-528-525-1_LS4429494_SQ6051_1
PMGRC-529-529-0_LS4743023_SQ6100_1,PMGRC-529-529-0_LS4743023_SQ6100_1
PMGRC-53-53-0_LS3762979_SQ6099_1,PMGRC-53-53-0_LS3762979_SQ6099_1
PMGRC-531-530-2_LS4268804_SQ6099_1,PMGRC-531-530-2_LS4268804_SQ6099_1
PMGRC-532-477-4_LS4743000_SQ6110_1,PMGRC-532-477-4_LS4743000_SQ6110_1
PMGRC-538-538-0_LS4268809_SQ6041_1,PMGRC-538-538-0_LS4268809_SQ6041_1
PMGRC-539-538-2_LS4268808_SQ6040_1,PMGRC-539-538-2_LS4268808_SQ6040_1
PMGRC-540-540-0_LS4742999_SQ6109_1,PMGRC-540-540-0_LS4742999_SQ6109_1
PMGRC-541-540-2_LS4743008_SQ6118_1,PMGRC-541-540-2_LS4743008_SQ6118_1
PMGRC-542-540-1_LS4743002_SQ6112_1,PMGRC-542-540-1_LS4743002_SQ6112_1
PMGRC-543-543-0_LS4268814_SQ6046_1,PMGRC-543-543-0_LS4268814_SQ6046_1
PMGRC-544-543-2_LS4268815_SQ6047_1,PMGRC-544-543-2_LS4268815_SQ6047_1
PMGRC-549-549-0_LS4698940_SQ6091_1,PMGRC-549-549-0_LS4698940_SQ6091_1
PMGRC-55-53-1_LS3762977_SQ6097_1,PMGRC-55-53-1_LS3762977_SQ6097_1
PMGRC-550-550-0_LS4698936_SQ6087_1,PMGRC-550-550-0_LS4698936_SQ6087_1
PMGRC-551-550-2_LS4698937_SQ6088_1,PMGRC-551-550-2_LS4698937_SQ6088_1
PMGRC-554-553-2_LS4698951_SQ6114_1,PMGRC-554-553-2_LS4698951_SQ6114_1
PMGRC-555-553-3_LS4698952_SQ6115_1,PMGRC-555-553-3_LS4698952_SQ6115_1
PMGRC-559-559-0_LS4743015_SQ6092_1,PMGRC-559-559-0_LS4743015_SQ6092_1
PMGRC-560-559-2_LS4743003_SQ6113_1,PMGRC-560-559-2_LS4743003_SQ6113_1
PMGRC-561-559-1_LS4743017_SQ6094_1,PMGRC-561-559-1_LS4743017_SQ6094_1
PMGRC-562-562-0_LS4429509_SQ6071_1,PMGRC-562-562-0_LS4429509_SQ6071_1
PMGRC-564-575-1_LS4698994_SQ6049_1,PMGRC-564-575-1_LS4698994_SQ6049_1
PMGRC-566-568-2_LS4699005_SQ6072_1,PMGRC-566-568-2_LS4699005_SQ6072_1
PMGRC-567-568-1_LS4699006_SQ6073_1,PMGRC-567-568-1_LS4699006_SQ6073_1
PMGRC-568-568-0_LS4699007_SQ6074_1,PMGRC-568-568-0_LS4699007_SQ6074_1
PMGRC-57-53-2_LS3762978_SQ6098_1,PMGRC-57-53-2_LS3762978_SQ6098_1
PMGRC-572-572-0_LS4429511_SQ6073_1,PMGRC-572-572-0_LS4429511_SQ6073_1
PMGRC-573-575-2_LS4698997_SQ6052_1,PMGRC-573-575-2_LS4698997_SQ6052_1
PMGRC-574-575-3_LS4698996_SQ6051_1,PMGRC-574-575-3_LS4698996_SQ6051_1
PMGRC-575-575-0_LS4698995_SQ6050_1,PMGRC-575-575-0_LS4698995_SQ6050_1
PMGRC-576-576-0_LS4429508_SQ6123_1,PMGRC-576-576-0_LS4429508_SQ6123_1
PMGRC-577-578-2_LS4429506_SQ6068_1,PMGRC-577-578-2_LS4429506_SQ6068_1
PMGRC-578-578-0_LS4429505_SQ6067_1,PMGRC-578-578-0_LS4429505_SQ6067_1
PMGRC-579-578-1_LS4429507_SQ6069_1,PMGRC-579-578-1_LS4429507_SQ6069_1
PMGRC-59-60-3_LS3516227_SQ6113_1,PMGRC-59-60-3_LS3516227_SQ6113_1
PMGRC-590-590-0_LS4698968_SQ6119_1,PMGRC-590-590-0_LS4698968_SQ6119_1
PMGRC-591-590-2_LS4698967_SQ6118_1,PMGRC-591-590-2_LS4698967_SQ6118_1
PMGRC-592-590-1_LS4698966_SQ6117_1,PMGRC-592-590-1_LS4698966_SQ6117_1
PMGRC-6-5-1_LS3516208_SQ6046_1,PMGRC-6-5-1_LS3516208_SQ6046_1
PMGRC-60-60-0_LS3516228_SQ6114_1,PMGRC-60-60-0_LS3516228_SQ6114_1
PMGRC-602-602-0_LS4698991_SQ6046_1,PMGRC-602-602-0_LS4698991_SQ6046_1
PMGRC-603-602-2_LS4698990_SQ6045_1,PMGRC-603-602-2_LS4698990_SQ6045_1
PMGRC-604-602-1_LS4698992_SQ6047_1,PMGRC-604-602-1_LS4698992_SQ6047_1
PMGRC-61-60-3_LS3516229_SQ6115_1,PMGRC-61-60-3_LS3516229_SQ6115_1
PMGRC-611-611-0_LS4429513_SQ6075_1,PMGRC-611-611-0_LS4429513_SQ6075_1
PMGRC-612-611-2_LS4429512_SQ6074_1,PMGRC-612-611-2_LS4429512_SQ6074_1
PMGRC-614-615-1_LS4429514_SQ6076_1,PMGRC-614-615-1_LS4429514_SQ6076_1
PMGRC-615-615-0_LS4429515_SQ6077_1,PMGRC-615-615-0_LS4429515_SQ6077_1
PMGRC-62-60-3_LS3516230_SQ6116_1,PMGRC-62-60-3_LS3516230_SQ6116_1
PMGRC-620-619-2_LS4698989_SQ6044_1,PMGRC-620-619-2_LS4698989_SQ6044_1
PMGRC-621-619-1_LS4698993_SQ6048_1,PMGRC-621-619-1_LS4698993_SQ6048_1
PMGRC-623-622-2_LS4698962_SQ6062_1,PMGRC-623-622-2_LS4698962_SQ6062_1
PMGRC-626-626-0_LS4699011_SQ6077_1,PMGRC-626-626-0_LS4699011_SQ6077_1
PMGRC-627-626-2_LS4743020_SQ6097_1,PMGRC-627-626-2_LS4743020_SQ6097_1
PMGRC-628-626-1_LS4699012_SQ6078_1,PMGRC-628-626-1_LS4699012_SQ6078_1
PMGRC-63-60-2_LS3516231_SQ6117_1,PMGRC-63-60-2_LS3516231_SQ6117_1
PMGRC-633-632-2_LS4699015_SQ6081_1,PMGRC-633-632-2_LS4699015_SQ6081_1
PMGRC-634-632-1_LS4699014_SQ6080_1,PMGRC-634-632-1_LS4699014_SQ6080_1
PMGRC-64-60-1_LS3516232_SQ6118_1,PMGRC-64-60-1_LS3516232_SQ6118_1
PMGRC-644-645-2_LS4698985_SQ6040_1,PMGRC-644-645-2_LS4698985_SQ6040_1
PMGRC-645-645-0_LS4698983_SQ6038_1,PMGRC-645-645-0_LS4698983_SQ6038_1
PMGRC-646-645-1_LS4698984_SQ6039_1,PMGRC-646-645-1_LS4698984_SQ6039_1
PMGRC-647-181-3_LS4698973_SQ6124_1,PMGRC-647-181-3_LS4698973_SQ6124_1
PMGRC-648-181-3_LS4698972_SQ6123_1,PMGRC-648-181-3_LS4698972_SQ6123_1
PMGRC-649-181-3_LS4698971_SQ6122_1,PMGRC-649-181-3_LS4698971_SQ6122_1
PMGRC-656-658-2_LS4698999_SQ6054_1,PMGRC-656-658-2_LS4698999_SQ6054_1
PMGRC-657-658-1_LS4698998_SQ6053_1,PMGRC-657-658-1_LS4698998_SQ6053_1
PMGRC-658-658-0_LS4699000_SQ6055_1,PMGRC-658-658-0_LS4699000_SQ6055_1
PMGRC-659-658-3_LS4699001_SQ6056_1,PMGRC-659-658-3_LS4699001_SQ6056_1
PMGRC-661-661-0_LS4698963_SQ6063_1,PMGRC-661-661-0_LS4698963_SQ6063_1
PMGRC-662-661-2_LS4698964_SQ6064_1,PMGRC-662-661-2_LS4698964_SQ6064_1
PMGRC-663-661-1_LS4698965_SQ6065_1,PMGRC-663-661-1_LS4698965_SQ6065_1
PMGRC-674-674-0_LS4698953_SQ6116_1,PMGRC-674-674-0_LS4698953_SQ6116_1
PMGRC-68-68-0_LS3516187_SQ6073_1,PMGRC-68-68-0_LS3516187_SQ6073_1
PMGRC-687-547-1_LS4743010_SQ6120_1,PMGRC-687-547-1_LS4743010_SQ6120_1
PMGRC-69-68-2_LS3516186_SQ6072_1,PMGRC-69-68-2_LS3516186_SQ6072_1
PMGRC-691-632-3_LS4699013_SQ6079_1,PMGRC-691-632-3_LS4699013_SQ6079_1
PMGRC-697-697-0_LS4743024_SQ6101_1,PMGRC-697-697-0_LS4743024_SQ6101_1
PMGRC-7-5-2_LS3516206_SQ6044_1,PMGRC-7-5-2_LS3516206_SQ6044_1
PMGRC-70-68-1_LS3516185_SQ6071_1,PMGRC-70-68-1_LS3516185_SQ6071_1
PMGRC-711-529-3_LS4743021_SQ6098_1,PMGRC-711-529-3_LS4743021_SQ6098_1
PMGRC-79-79-0_LS3516209_SQ6047_1,PMGRC-79-79-0_LS3516209_SQ6047_1
PMGRC-80-86-2_LS3516175_SQ6061_1,PMGRC-80-86-2_LS3516175_SQ6061_1
PMGRC-81-81-0_LS3516196_SQ6082_1,PMGRC-81-81-0_LS3516196_SQ6082_1
PMGRC-82-82-0_LS3516218_SQ6056_1,PMGRC-82-82-0_LS3516218_SQ6056_1
PMGRC-83-82-2_LS3516217_SQ6055_1,PMGRC-83-82-2_LS3516217_SQ6055_1
PMGRC-84-82-1_LS3516216_SQ6054_1,PMGRC-84-82-1_LS3516216_SQ6054_1
PMGRC-85-86-1_LS3516173_SQ6125_1,PMGRC-85-86-1_LS3516173_SQ6125_1
PMGRC-86-86-0_LS3516172_SQ6106_1,PMGRC-86-86-0_LS3516172_SQ6106_1
PMGRC-88-88-0_LS3516155_SQ6089_1,PMGRC-88-88-0_LS3516155_SQ6089_1
PMGRC-89-88-2_LS3516153_SQ6087_1,PMGRC-89-88-2_LS3516153_SQ6087_1
PMGRC-90-88-1_LS3516154_SQ6088_1,PMGRC-90-88-1_LS3516154_SQ6088_1
PMGRC-99-101-2_LS4268817_SQ6049_1,PMGRC-99-101-2_LS4268817_SQ6049_1